Crop,Rank,Band,Date,Channel,SIglobal
Rice,4,B7,05/16,B7_20250516,1.077929
Rice,5,B11,07/15,B11_20250715,0.822699
Rice,6,B11,05/31,B11_20250531,0.811565
Rice,7,B8A,05/31,B8A_20250531,0.806683
Rice,8,B11,07/30,B11_20250730,0.802633
Rice,9,B11,05/16,B11_20250516,0.784342
Rice,10,B8,05/31,B8_20250531,0.770815
Rice,11,B11,01/31,B11_20250131,0.759237
Rice,12,B8A,05/01,B8A_20250501,0.753546
Rice,13,B11,06/30,B11_20250630,0.750282
Rice,14,B6,05/31,B6_20250531,0.75012
Rice,15,B8,05/01,B8_20250501,0.747909
Rice,16,B7,05/01,B7_20250501,0.746423
Rice,17,B12,07/15,B12_20250715,0.741622
Rice,18,B7,05/31,B7_20250531,0.729874
Rice,19,B12,07/30,B12_20250730,0.721154
Rice,20,B6,05/01,B6_20250501,0.718257
Rice,21,B11,08/14,B11_20250814,0.708436
Rice,22,B11,06/15,B11_20250615,0.69519
Rice,23,B12,08/14,B12_20250814,0.694604
Rice,24,B5,07/15,B5_20250715,0.687481
Rice,25,B11,12/27,B11_20251227,0.666133
Rice,26,B12,06/30,B12_20250630,0.652801
Rice,27,B12,08/29,B12_20250829,0.63525
Rice,28,B7,08/29,B7_20250829,0.624925
Rice,29,B3,07/15,B3_20250715,0.624911
Rice,30,B5,07/30,B5_20250730,0.620456
Rice,31,B5,10/13,B5_20251013,0.615274
Rice,32,B3,07/30,B3_20250730,0.6117
Rice,33,B12,05/31,B12_20250531,0.606669
Rice,34,B11,08/29,B11_20250829,0.599718
Winter Wheat,1,B4,06/15,B4_20250615,0.92544
Winter Wheat,2,B4,05/31,B4_20250531,0.900717
Winter Wheat,3,B12,07/15,B12_20250715,0.887187
Winter Wheat,4,B4,06/30,B4_20250630,0.872108
Winter Wheat,5,B5,05/31,B5_20250531,0.85633
Winter Wheat,6,B2,06/30,B2_20250630,0.835873
Winter Wheat,7,B5,06/15,B5_20250615,0.832721
Winter Wheat,8,B2,07/15,B2_20250715,0.824187
Winter Wheat,9,B12,07/30,B12_20250730,0.809522
Winter Wheat,10,B3,06/30,B3_20250630,0.794628
Winter Wheat,11,B2,07/30,B2_20250730,0.77743
Winter Wheat,12,B12,06/30,B12_20250630,0.764037
Winter Wheat,13,B2,06/15,B2_20250615,0.757919
Winter Wheat,14,B3,06/15,B3_20250615,0.75694
Winter Wheat,15,B4,07/15,B4_20250715,0.756211
Winter Wheat,16,B11,06/30,B11_20250630,0.754711
Winter Wheat,17,B5,06/30,B5_20250630,0.744218
Winter Wheat,18,B3,07/15,B3_20250715,0.735387
Winter Wheat,19,B11,07/15,B11_20250715,0.71611
Winter Wheat,20,B8A,04/16,B8A_20250416,0.712773
Winter Wheat,21,B8,04/16,B8_20250416,0.707252
Winter Wheat,22,B12,08/14,B12_20250814,0.701706
Winter Wheat,23,B7,04/01,B7_20250401,0.699183
Winter Wheat,24,B2,08/14,B2_20250814,0.698616
Winter Wheat,25,B7,04/16,B7_20250416,0.697902
Winter Wheat,26,B8,04/01,B8_20250401,0.68977
Winter Wheat,27,B5,05/16,B5_20250516,0.682068
Winter Wheat,28,B8A,04/01,B8A_20250401,0.681453
Winter Wheat,29,B3,07/30,B3_20250730,0.67478
Winter Wheat,30,B4,07/30,B4_20250730,0.674472
Winter Wheat,31,B3,05/31,B3_20250531,0.666411
Winter Wheat,32,B12,04/16,B12_20250416,0.645121
Winter Wheat,33,B2,05/31,B2_20250531,0.639618
Winter Wheat,34,B12,04/01,B12_20250401,0.636925
Winter Wheat,35,B11,07/30,B11_20250730,0.624312
Winter Wheat,36,B4,04/01,B4_20250401,0.621734
Winter Wheat,37,B4,05/16,B4_20250516,0.608741
Winter Wheat,38,B7,03/17,B7_20250317,0.607649
Winter Wheat,39,B4,08/14,B4_20250814,0.601961
Winter Wheat,40,B3,08/14,B3_20250814,0.598169
Winter Wheat,41,B2,08/29,B2_20250829,0.594301
Winter Wheat,42,B8,03/17,B8_20250317,0.593718
Winter Wheat,43,B12,08/29,B12_20250829,0.592873
Winter Wheat,44,B5,07/15,B5_20250715,0.591611
Winter Wheat,45,B11,04/16,B11_20250416,0.590478
Winter Wheat,46,B8A,03/17,B8A_20250317,0.587147
Winter Wheat,47,B11,06/15,B11_20250615,0.582097
Winter Wheat,48,B11,04/01,B11_20250401,0.576894
Winter Wheat,49,B2,04/01,B2_20250401,0.551432
Winter Wheat,50,B7,03/02,B7_20250302,0.549768
Winter Wheat,51,B4,03/17,B4_20250317,0.549593
Winter Wheat,52,B4,03/02,B4_20250302,0.541968
Winter Wheat,53,B6,04/01,B6_20250401,0.540499
Winter Wheat,54,B8,03/02,B8_20250302,0.537048
Winter Wheat,55,B11,08/14,B11_20250814,0.534675
Winter Wheat,56,B8A,03/02,B8A_20250302,0.529223
Winter Wheat,57,B5,07/30,B5_20250730,0.508555
Winter Wheat,58,B12,03/17,B12_20250317,0.507788
Winter Wheat,59,B4,04/16,B4_20250416,0.507574
Winter Wheat,60,B2,03/02,B2_20250302,0.506035
Winter Wheat,61,B2,03/17,B2_20250317,0.500171
Winter Wheat,62,B12,03/02,B12_20250302,0.489874
Winter Wheat,63,B2,04/16,B2_20250416,0.485965
Winter Wheat,64,B6,04/16,B6_20250416,0.485531
Alfalfa,1,B8A,04/16,B8A_20250416,0.511256
Alfalfa,2,B8A,04/01,B8A_20250401,0.506812
Alfalfa,3,B7,04/01,B7_20250401,0.5054
Alfalfa,4,B8,04/01,B8_20250401,0.504434
Alfalfa,5,B8,04/16,B8_20250416,0.495653
Alfalfa,6,B6,04/01,B6_20250401,0.474997
Alfalfa,7,B7,04/16,B7_20250416,0.473754
Alfalfa,8,B6,04/16,B6_20250416,0.449917
Alfalfa,9,B8A,05/01,B8A_20250501,0.446497
Alfalfa,10,B6,05/01,B6_20250501,0.440575
Alfalfa,11,B8,05/01,B8_20250501,0.434931
Alfalfa,12,B7,05/01,B7_20250501,0.422707
Alfalfa,13,B7,03/17,B7_20250317,0.410309
Alfalfa,14,B7,10/28,B7_20251028,0.408034
Alfalfa,15,B8,03/17,B8_20250317,0.408023
Alfalfa,16,B8A,03/17,B8A_20250317,0.406385
Alfalfa,17,B8A,10/28,B8A_20251028,0.403039
Alfalfa,18,B8,10/28,B8_20251028,0.402185
Alfalfa,19,B11,07/15,B11_20250715,0.399227
Alfalfa,20,B4,04/01,B4_20250401,0.398794
Alfalfa,21,B6,10/28,B6_20251028,0.396918
Alfalfa,22,B7,10/13,B7_20251013,0.392217
Alfalfa,23,B11,06/30,B11_20250630,0.391599
Alfalfa,24,B6,05/16,B6_20250516,0.387314
Alfalfa,25,B12,04/01,B12_20250401,0.384841
Alfalfa,26,B6,03/17,B6_20250317,0.382756
Alfalfa,27,B8,10/13,B8_20251013,0.382308
Alfalfa,28,B8A,10/13,B8A_20251013,0.379042
Alfalfa,29,B6,10/13,B6_20251013,0.378924
Alfalfa,30,B4,10/13,B4_20251013,0.370851
Alfalfa,31,B8A,05/16,B8A_20250516,0.369559
Alfalfa,32,B4,09/28,B4_20250928,0.362488
Alfalfa,33,B2,04/01,B2_20250401,0.357836
Alfalfa,34,B8,05/16,B8_20250516,0.355431
Alfalfa,35,B4,10/28,B4_20251028,0.352209
Alfalfa,36,B7,05/16,B7_20250516,0.341472
Alfalfa,37,B4,03/17,B4_20250317,0.335559
Alfalfa,38,B5,06/30,B5_20250630,0.335105
Alfalfa,39,B11,07/30,B11_20250730,0.334655
Alfalfa,40,B7,09/28,B7_20250928,0.33421
Alfalfa,41,B7,03/02,B7_20250302,0.333209
Alfalfa,42,B8A,03/02,B8A_20250302,0.330388
Alfalfa,43,B8A,01/01,B8A_20250101,0.330124
Alfalfa,44,B8,03/02,B8_20250302,0.32996
Alfalfa,45,B2,10/13,B2_20251013,0.329882
Alfalfa,46,B6,09/28,B6_20250928,0.327557
Alfalfa,47,B11,06/15,B11_20250615,0.322794
Alfalfa,48,B3,09/28,B3_20250928,0.322197
Alfalfa,49,B5,09/28,B5_20250928,0.321936
Alfalfa,50,B2,03/17,B2_20250317,0.321578
Alfalfa,51,B12,07/15,B12_20250715,0.320841
Alfalfa,52,B2,09/28,B2_20250928,0.319649
Alfalfa,53,B8,01/01,B8_20250101,0.319536
Alfalfa,54,B8,09/28,B8_20250928,0.31872
Alfalfa,55,B2,10/28,B2_20251028,0.316363
Alfalfa,56,B8A,09/28,B8A_20250928,0.314825
Alfalfa,57,B7,01/01,B7_20250101,0.31381
Alfalfa,58,B5,07/15,B5_20250715,0.312495
Alfalfa,59,B6,03/02,B6_20250302,0.310673
Alfalfa,60,B5,06/15,B5_20250615,0.308556
Alfalfa,61,B8A,01/16,B8A_20250116,0.30721
Alfalfa,62,B12,04/16,B12_20250416,0.306882
Alfalfa,63,B12,03/17,B12_20250317,0.305388
Alfalfa,64,B6,01/01,B6_20250101,0.30528
Alfalfa,65,B3,10/13,B3_20251013,0.302701
Alfalfa,66,B8A,01/31,B8A_20250131,0.301841
Alfalfa,67,B8,01/16,B8_20250116,0.300221
Alfalfa,68,B7,01/16,B7_20250116,0.298554
Alfalfa,69,B3,04/01,B3_20250401,0.297237
Alfalfa,70,B12,06/30,B12_20250630,0.296837
Alfalfa,71,B5,05/31,B5_20250531,0.296833
Alfalfa,72,B4,03/02,B4_20250302,0.296716
Alfalfa,73,B12,10/13,B12_20251013,0.296171
Alfalfa,74,B8,01/31,B8_20250131,0.295552
Alfalfa,75,B11,04/01,B11_20250401,0.295161
Alfalfa,76,B3,06/30,B3_20250630,0.294279
Alfalfa,77,B3,07/15,B3_20250715,0.291903
Alfalfa,78,B6,05/31,B6_20250531,0.291544
Alfalfa,79,B7,01/31,B7_20250131,0.290873
Alfalfa,80,B2,03/02,B2_20250302,0.288222
Alfalfa,81,B12,10/28,B12_20251028,0.287877
Alfalfa,82,B6,01/16,B6_20250116,0.285715
Alfalfa,83,B6,01/31,B6_20250131,0.28512
Alfalfa,84,B7,09/13,B7_20250913,0.284993
Alfalfa,85,B4,09/13,B4_20250913,0.284788
Alfalfa,86,B6,09/13,B6_20250913,0.283874
Alfalfa,87,B5,10/13,B5_20251013,0.28314
Tomatoes,1,B8A,04/16,B8A_20250416,0.594449
Tomatoes,2,B8,04/16,B8_20250416,0.583048
Tomatoes,3,B7,04/16,B7_20250416,0.571806
Tomatoes,4,B8A,05/01,B8A_20250501,0.557371
Tomatoes,5,B12,05/01,B12_20250501,0.556527
Tomatoes,6,B8,05/01,B8_20250501,0.53809
Tomatoes,7,B6,04/16,B6_20250416,0.532408
Tomatoes,8,B12,04/16,B12_20250416,0.528204
Tomatoes,9,B7,05/01,B7_20250501,0.517281
Tomatoes,10,B6,05/01,B6_20250501,0.477002
Tomatoes,11,B8A,04/01,B8A_20250401,0.474918
Tomatoes,12,B8,04/01,B8_20250401,0.47075
Tomatoes,13,B7,04/01,B7_20250401,0.466507
Tomatoes,14,B4,04/16,B4_20250416,0.450018
Tomatoes,15,B11,06/30,B11_20250630,0.440892
Tomatoes,16,B6,04/01,B6_20250401,0.434257
Tomatoes,17,B12,05/16,B12_20250516,0.425128
Tomatoes,18,B12,04/01,B12_20250401,0.416961
Tomatoes,19,B4,04/01,B4_20250401,0.414416
Tomatoes,20,B6,07/15,B6_20250715,0.409609
Tomatoes,21,B4,02/15,B4_20250215,0.409039
Tomatoes,22,B4,03/17,B4_20250317,0.40542
Tomatoes,23,B6,06/30,B6_20250630,0.403554
Tomatoes,24,B4,03/02,B4_20250302,0.403528
Tomatoes,25,B2,05/01,B2_20250501,0.402458
Tomatoes,26,B3,02/15,B3_20250215,0.392877
Tomatoes,27,B2,04/16,B2_20250416,0.391927
Tomatoes,28,B2,02/15,B2_20250215,0.391302
Tomatoes,29,B12,03/02,B12_20250302,0.391097
Tomatoes,30,B4,05/01,B4_20250501,0.386208
Tomatoes,31,B12,03/17,B12_20250317,0.385155
Tomatoes,32,B11,07/15,B11_20250715,0.384416
Tomatoes,33,B5,06/30,B5_20250630,0.375082
Tomatoes,34,B2,03/02,B2_20250302,0.366173
Tomatoes,35,B2,04/01,B2_20250401,0.360483
Tomatoes,36,B12,02/15,B12_20250215,0.359525
Tomatoes,37,B5,06/15,B5_20250615,0.359372
Tomatoes,38,B8A,05/16,B8A_20250516,0.35724
Tomatoes,39,B2,03/17,B2_20250317,0.356582
Tomatoes,40,B11,05/01,B11_20250501,0.353496
Tomatoes,41,B5,07/15,B5_20250715,0.352677
Tomatoes,42,B5,05/31,B5_20250531,0.347321
Tomatoes,43,B5,07/30,B5_20250730,0.344778
Tomatoes,44,B12,06/30,B12_20250630,0.342598
Tomatoes,45,B3,06/30,B3_20250630,0.340812
Tomatoes,46,B3,03/02,B3_20250302,0.340162
Tomatoes,47,B3,05/01,B3_20250501,0.337418
Tomatoes,48,B5,02/15,B5_20250215,0.336927
Tomatoes,49,B4,10/13,B4_20251013,0.336892
Tomatoes,50,B3,07/30,B3_20250730,0.336024
Tomatoes,51,B8,05/16,B8_20250516,0.333717
Tomatoes,52,B3,07/15,B3_20250715,0.332257
Tomatoes,53,B8A,03/17,B8A_20250317,0.331285
Tomatoes,54,B12,07/15,B12_20250715,0.329603
Tomatoes,55,B8,03/17,B8_20250317,0.32901
Tomatoes,56,B4,06/30,B4_20250630,0.328702
Tomatoes,57,B7,03/17,B7_20250317,0.326965
Tomatoes,58,B5,05/16,B5_20250516,0.326836
Tomatoes,59,B11,06/15,B11_20250615,0.326296
Tomatoes,60,B11,04/16,B11_20250416,0.325644
Tomatoes,61,B8A,10/28,B8A_20251028,0.325432
Tomatoes,62,B8A,10/13,B8A_20251013,0.324258
Grapes,1,B11,06/30,B11_20250630,0.577273
Grapes,2,B11,07/15,B11_20250715,0.548091
Grapes,3,B5,06/30,B5_20250630,0.533179
Grapes,4,B5,06/15,B5_20250615,0.521455
Grapes,5,B4,06/30,B4_20250630,0.510075
Grapes,6,B11,06/15,B11_20250615,0.507873
Grapes,7,B12,06/30,B12_20250630,0.50029
Grapes,8,B12,07/15,B12_20250715,0.494422
Grapes,9,B5,07/15,B5_20250715,0.484694
Grapes,10,B11,07/30,B11_20250730,0.48358
Grapes,11,B3,06/30,B3_20250630,0.47599
Grapes,12,B4,07/15,B4_20250715,0.475736
Grapes,13,B4,06/15,B4_20250615,0.468192
Grapes,14,B5,05/31,B5_20250531,0.462717
Grapes,15,B2,06/30,B2_20250630,0.450088
Grapes,16,B12,07/30,B12_20250730,0.439635
Grapes,17,B11,05/31,B11_20250531,0.437817
Grapes,18,B3,06/15,B3_20250615,0.432259
Grapes,19,B3,07/15,B3_20250715,0.426326
Grapes,20,B4,07/30,B4_20250730,0.42482
Grapes,21,B2,07/15,B2_20250715,0.417511
Grapes,22,B12,06/15,B12_20250615,0.414712
Grapes,23,B5,05/16,B5_20250516,0.411712
Grapes,24,B5,07/30,B5_20250730,0.404218
Grapes,25,B8A,04/16,B8A_20250416,0.400947
Grapes,26,B4,05/31,B4_20250531,0.397788
Grapes,27,B2,06/15,B2_20250615,0.394341
Grapes,28,B8,04/16,B8_20250416,0.392659
Grapes,29,B7,04/16,B7_20250416,0.391505
Grapes,30,B11,05/16,B11_20250516,0.385579
Grapes,31,B2,07/30,B2_20250730,0.381639
Grapes,32,B11,08/14,B11_20250814,0.378002
Grapes,33,B3,07/30,B3_20250730,0.374823
Grapes,34,B3,05/31,B3_20250531,0.364346
Grapes,35,B12,08/14,B12_20250814,0.357144
Grapes,36,B4,08/14,B4_20250814,0.354416
Grapes,37,B7,04/01,B7_20250401,0.354319
Grapes,38,B8A,04/01,B8A_20250401,0.35283
Grapes,39,B8,04/01,B8_20250401,0.349654
Grapes,40,B8A,05/01,B8A_20250501,0.347073
Grapes,41,B12,05/31,B12_20250531,0.344103
Grapes,42,B6,04/16,B6_20250416,0.338864
Grapes,43,B8,05/01,B8_20250501,0.337497
Grapes,44,B7,05/01,B7_20250501,0.334883
Grapes,45,B6,04/01,B6_20250401,0.322363
Grapes,46,B2,08/14,B2_20250814,0.320567
Grapes,47,B2,05/31,B2_20250531,0.318063
Grapes,48,B12,05/16,B12_20250516,0.315493
Grapes,49,B5,08/14,B5_20250814,0.310506
Almonds,1,B8A,04/16,B8A_20250416,0.510351
Almonds,2,B8,04/16,B8_20250416,0.50409
Almonds,3,B7,04/16,B7_20250416,0.500358
Almonds,4,B7,04/01,B7_20250401,0.465527
Almonds,5,B8,04/01,B8_20250401,0.458456
Almonds,6,B8A,04/01,B8A_20250401,0.456289
Almonds,7,B6,04/16,B6_20250416,0.427981
Almonds,8,B12,04/01,B12_20250401,0.416047
Almonds,9,B6,04/01,B6_20250401,0.40978
Almonds,10,B12,04/16,B12_20250416,0.408811
Almonds,11,B4,04/01,B4_20250401,0.407712
Almonds,12,B8A,05/01,B8A_20250501,0.395124
Almonds,13,B8,05/01,B8_20250501,0.383914
Almonds,14,B2,04/01,B2_20250401,0.38213
Almonds,15,B4,03/17,B4_20250317,0.380647
Almonds,16,B2,03/17,B2_20250317,0.376846
Almonds,17,B7,05/01,B7_20250501,0.37331
Almonds,18,B12,03/17,B12_20250317,0.372474
Almonds,19,B4,04/16,B4_20250416,0.362305
Almonds,20,B7,03/17,B7_20250317,0.361406
Almonds,21,B6,05/01,B6_20250501,0.360477
Almonds,22,B2,04/16,B2_20250416,0.359869
Almonds,23,B4,10/13,B4_20251013,0.355629
Almonds,24,B8A,03/17,B8A_20250317,0.355625
Almonds,25,B8,03/17,B8_20250317,0.354639
Almonds,26,B11,04/01,B11_20250401,0.354598
Almonds,27,B6,05/16,B6_20250516,0.339262
Almonds,28,B11,04/16,B11_20250416,0.333322
Almonds,29,B6,03/17,B6_20250317,0.326763
Almonds,30,B2,10/13,B2_20251013,0.326063
Almonds,31,B8A,05/16,B8A_20250516,0.326047
Almonds,32,B4,10/28,B4_20251028,0.322801
Almonds,33,B5,06/30,B5_20250630,0.321622
Almonds,34,B11,03/17,B11_20250317,0.319863
Almonds,35,B7,05/16,B7_20250516,0.319365
Almonds,36,B8,05/16,B8_20250516,0.318365
Almonds,37,B11,06/30,B11_20250630,0.317529
Almonds,38,B5,07/15,B5_20250715,0.31714
Almonds,39,B3,04/01,B3_20250401,0.315094
Almonds,40,B5,06/15,B5_20250615,0.312365
Almonds,41,B5,05/31,B5_20250531,0.311015
Almonds,42,B12,10/13,B12_20251013,0.307359
Almonds,43,B11,07/15,B11_20250715,0.305527
Almonds,44,B12,03/02,B12_20250302,0.300204
Almonds,45,B4,09/28,B4_20250928,0.299962
Almonds,46,B3,03/17,B3_20250317,0.295087
Almonds,47,B5,05/16,B5_20250516,0.294879
Almonds,48,B3,04/16,B3_20250416,0.294307
Walnuts,1,B8A,04/16,B8A_20250416,0.439433
Walnuts,2,B8,04/16,B8_20250416,0.430586
Walnuts,3,B7,04/16,B7_20250416,0.427247
Walnuts,4,B4,10/28,B4_20251028,0.406494
Walnuts,5,B2,10/28,B2_20251028,0.399158
Walnuts,6,B3,10/13,B3_20251013,0.398029
Walnuts,7,B4,10/13,B4_20251013,0.396584
Walnuts,8,B2,10/13,B2_20251013,0.392675
Walnuts,9,B5,09/28,B5_20250928,0.388329
Walnuts,10,B5,10/13,B5_20251013,0.380538
Walnuts,11,B3,09/28,B3_20250928,0.375773
Walnuts,12,B6,04/16,B6_20250416,0.374402
Walnuts,13,B5,09/13,B5_20250913,0.367772
Walnuts,14,B8A,05/01,B8A_20250501,0.366413
Walnuts,15,B12,10/28,B12_20251028,0.364579
Walnuts,16,B3,10/28,B3_20251028,0.363024
Walnuts,17,B8A,04/01,B8A_20250401,0.353952
Walnuts,18,B6,05/01,B6_20250501,0.353863
Walnuts,19,B8,05/01,B8_20250501,0.353615
Walnuts,20,B12,10/13,B12_20251013,0.351602
Walnuts,21,B7,04/01,B7_20250401,0.351555
Walnuts,22,B7,05/01,B7_20250501,0.351306
Walnuts,23,B4,09/28,B4_20250928,0.35069
Walnuts,24,B8,04/01,B8_20250401,0.349924
Walnuts,25,B2,09/28,B2_20250928,0.347989
Walnuts,26,B12,04/01,B12_20250401,0.346652
Walnuts,27,B3,09/13,B3_20250913,0.33974
Walnuts,28,B11,12/27,B11_20251227,0.334695
Walnuts,29,B11,06/30,B11_20250630,0.334543
Walnuts,30,B5,06/30,B5_20250630,0.328467
Walnuts,31,B5,07/15,B5_20250715,0.325121
Walnuts,32,B6,04/01,B6_20250401,0.323293
Walnuts,33,B6,05/16,B6_20250516,0.322438
Walnuts,34,B4,04/01,B4_20250401,0.321786
Walnuts,35,B11,07/15,B11_20250715,0.321716
Walnuts,36,B5,06/15,B5_20250615,0.32008
Walnuts,37,B11,10/13,B11_20251013,0.318828
Walnuts,38,B5,08/29,B5_20250829,0.315879
Walnuts,39,B5,10/28,B5_20251028,0.315367
Walnuts,40,B8A,05/16,B8A_20250516,0.314594
Walnuts,41,B7,05/16,B7_20250516,0.31373
Walnuts,42,B5,05/31,B5_20250531,0.31291
Walnuts,43,B12,12/27,B12_20251227,0.311262
Walnuts,44,B8,05/16,B8_20250516,0.307995
Walnuts,45,B4,09/13,B4_20250913,0.30501
Walnuts,46,B2,09/13,B2_20250913,0.304079
Walnuts,47,B11,10/28,B11_20251028,0.302187
Walnuts,48,B11,04/01,B11_20250401,0.301903
Walnuts,49,B4,03/17,B4_20250317,0.300261
Walnuts,50,B11,09/28,B11_20250928,0.296422
Walnuts,51,B12,09/28,B12_20250928,0.294742
Walnuts,52,B2,04/01,B2_20250401,0.293922
Walnuts,53,B11,06/15,B11_20250615,0.292356
Walnuts,54,B3,06/30,B3_20250630,0.292257
Walnuts,55,B11,01/31,B11_20250131,0.292131
Walnuts,56,B5,05/16,B5_20250516,0.290855
Walnuts,57,B12,03/17,B12_20250317,0.290392
Walnuts,58,B2,03/17,B2_20250317,0.289671
Walnuts,59,B3,07/15,B3_20250715,0.286435
Walnuts,60,B5,07/30,B5_20250730,0.28535
Walnuts,61,B12,03/02,B12_20250302,0.284974
Walnuts,62,B12,04/16,B12_20250416,0.282545
Walnuts,63,B12,01/31,B12_20250131,0.281924
Walnuts,64,B8A,03/17,B8A_20250317,0.27992
Walnuts,65,B7,03/17,B7_20250317,0.279482
Walnuts,66,B3,08/29,B3_20250829,0.27926
Walnuts,67,B8,03/17,B8_20250317,0.277212
Walnuts,68,B11,05/31,B11_20250531,0.274918
Walnuts,69,B11,07/30,B11_20250730,0.27409
Walnuts,70,B12,02/15,B12_20250215,0.271985
Walnuts,71,B3,06/15,B3_20250615,0.271181
Walnuts,72,B3,07/30,B3_20250730,0.268609
Walnuts,73,B12,07/15,B12_20250715,0.264743
Walnuts,74,B4,08/29,B4_20250829,0.263494
Walnuts,75,B4,06/15,B4_20250615,0.262799
Walnuts,76,B6,09/13,B6_20250913,0.262369
Walnuts,77,B4,06/30,B4_20250630,0.262349
Walnuts,78,B5,08/14,B5_20250814,0.261016
Walnuts,79,B6,03/17,B6_20250317,0.260742
Walnuts,80,B11,08/29,B11_20250829,0.258002
Walnuts,81,B2,07/15,B2_20250715,0.256696
Walnuts,82,B11,09/13,B11_20250913,0.255385
Walnuts,83,B11,03/02,B11_20250302,0.255095
Walnuts,84,B2,06/30,B2_20250630,0.254822
Walnuts,85,B12,09/13,B12_20250913,0.254148
Walnuts,86,B12,06/30,B12_20250630,0.253935
Walnuts,87,B2,08/29,B2_20250829,0.25152
Walnuts,88,B4,05/31,B4_20250531,0.251087
Walnuts,89,B4,07/15,B4_20250715,0.250927
Walnuts,90,B11,02/15,B11_20250215,0.249645
Walnuts,91,B3,05/31,B3_20250531,0.249257
Walnuts,92,B2,07/30,B2_20250730,0.249087
Walnuts,93,B4,04/16,B4_20250416,0.245751
Walnuts,94,B11,08/14,B11_20250814,0.244626
Walnuts,95,B12,08/29,B12_20250829,0.244561
Walnuts,96,B11,03/17,B11_20250317,0.243904
Walnuts,97,B2,06/15,B2_20250615,0.242809
