Crop,Rank,Band,Date,Channel,RF_Importance
Tomatoes,11,B12,05/16,B12_20250516,0.018801
Tomatoes,12,B12,07/30,B12_20250730,0.018125
Tomatoes,13,B8A,04/16,B8A_20250416,0.017382
Tomatoes,14,B5,05/31,B5_20250531,0.016882
Tomatoes,15,B11,07/30,B11_20250730,0.016796
Grapes,1,B11,05/16,B11_20250516,0.025681
Grapes,2,B8A,05/16,B8A_20250516,0.020508
Grapes,3,B5,06/15,B5_20250615,0.018167
Grapes,4,B11,05/31,B11_20250531,0.018146
Grapes,5,B8,04/16,B8_20250416,0.01698
Grapes,6,B11,07/15,B11_20250715,0.016866
Grapes,7,B5,06/30,B5_20250630,0.016745
Grapes,8,B12,07/30,B12_20250730,0.015953
Grapes,9,B11,07/30,B11_20250730,0.015903
Grapes,10,B8A,04/16,B8A_20250416,0.015463
Grapes,11,B8,05/16,B8_20250516,0.015091
Grapes,12,B7,05/16,B7_20250516,0.014778
Grapes,13,B5,05/31,B5_20250531,0.0147
Grapes,14,B4,04/01,B4_20250401,0.013931
Grapes,15,B11,06/30,B11_20250630,0.013679
Grapes,16,B7,04/16,B7_20250416,0.013386
Grapes,17,B2,04/01,B2_20250401,0.01323
Almonds,1,B2,02/15,B2_20250215,0.017348
Almonds,2,B11,05/16,B11_20250516,0.017218
Almonds,3,B5,04/16,B5_20250416,0.017197
Almonds,4,B11,03/17,B11_20250317,0.015705
Almonds,5,B5,05/16,B5_20250516,0.015594
Almonds,6,B2,04/01,B2_20250401,0.014358
Almonds,7,B8A,05/16,B8A_20250516,0.013612
Almonds,8,B5,05/31,B5_20250531,0.013451
Almonds,9,B5,06/15,B5_20250615,0.013131
Almonds,10,B4,04/01,B4_20250401,0.012588
Almonds,11,B11,05/31,B11_20250531,0.012544
Almonds,12,B11,04/16,B11_20250416,0.012242
Almonds,13,B2,03/17,B2_20250317,0.011616
Almonds,14,B4,06/15,B4_20250615,0.011546
Almonds,15,B4,05/31,B4_20250531,0.011529
Almonds,16,B12,03/17,B12_20250317,0.011447
Almonds,17,B11,07/15,B11_20250715,0.011178
Almonds,18,B4,06/30,B4_20250630,0.011156
Almonds,19,B12,04/01,B12_20250401,0.011116
Almonds,20,B8,04/16,B8_20250416,0.010984
Almonds,21,B5,06/30,B5_20250630,0.010966
Almonds,22,B11,04/01,B11_20250401,0.01088
Almonds,23,B8,05/16,B8_20250516,0.010315
Almonds,24,B12,07/30,B12_20250730,0.010224
Almonds,25,B4,02/15,B4_20250215,0.010205
Almonds,26,B8A,04/16,B8A_20250416,0.010201
Almonds,27,B7,05/16,B7_20250516,0.010161
Almonds,28,B7,01/16,B7_20250116,0.010154
Almonds,29,B6,01/16,B6_20250116,0.010127
Almonds,30,B11,07/30,B11_20250730,0.009855
Almonds,31,B6,10/13,B6_20251013,0.009762
Almonds,32,B4,03/17,B4_20250317,0.008983
Walnuts,1,B11,05/16,B11_20250516,0.022451
Walnuts,2,B8A,05/16,B8A_20250516,0.018603
Walnuts,3,B5,06/15,B5_20250615,0.016782
Walnuts,4,B11,05/31,B11_20250531,0.016273
Walnuts,5,B8,05/16,B8_20250516,0.015823
Walnuts,6,B5,06/30,B5_20250630,0.015402
Walnuts,7,B7,05/16,B7_20250516,0.014606
Walnuts,8,B8,04/16,B8_20250416,0.014472
Walnuts,9,B11,07/30,B11_20250730,0.014109
Walnuts,10,B4,04/01,B4_20250401,0.013874
Walnuts,11,B11,07/15,B11_20250715,0.013667
Walnuts,12,B5,05/31,B5_20250531,0.013577
Walnuts,13,B2,04/01,B2_20250401,0.013572
Walnuts,14,B12,07/30,B12_20250730,0.013468
Walnuts,15,B8A,04/16,B8A_20250416,0.013284
Walnuts,16,B5,07/15,B5_20250715,0.011524
